fr,en,de,it
affichage,display,Anzeige,visualizzazione
affichage des axes,axis display,anzeige der achsen,visualizzazione degli assi
affichage des côtes,dimension display,anzeige der masse,visualizzazione delle quote
affichage des documents emf,displaying emf documents,anzeige der emf dokumente,visualizzazione dei documenti emf
affichage des documents pdf,displaying pdf documents,anzeige der pdf dokumente,visualizzazione dei documenti pdf
affichage des modes,display of modes,anzeige der modi,visualizzazione delle modalità
affichage des temps dusinage,machining time display,Anzeige der Bearbeitungszeiten,visualizzazione dei tempi di lavorazione
affichages,displays,anzeigen,visualizzazioni
afficher,display,anzeige,visualizzare
afficher aide pdf devient accessible,show help pdf becomes accessible,zeige die hilfe pdf wird zugänglich,mostra aiuto pdf diventa accessibile
afficher f,display f,anzeige f,visualizzare f
afficher les arrêtes,display the edges,anzeige der schneidkanten,visualizzare i bordi
afficher les axes,display the axes,anzeige der achsen,visualizzare gli assi
afficher les axes en relatif,display axes in relative mode,Achsen im Relativmodus anzeigen,visualizzare gli assi in relativo
afficher les détails,display details,klicken sie auf details,visualizzare i dettagli
afficher les meules,display the grinding wheels,anzeige der schleifscheiben,visualizzare le mole
afficher les surfaces,display the surfaces,anzeige der oberflächen,visualizzare le superfici
afficher les titres des chapitres signets,display the bookmark chapter titles,Kapitelüberschriften der Lesezeichen anzeigen,visualizzare i titoli dei capitoli segnalibri
afficher les vitesses et les avances,display the speeds and feeds,anzeige der geschwindigkeiten und vorschübe,visualizzare le velocità e gli avanzamenti
afficher toutes les propriétés,show all properties,alle parameter zeigen,mostrare tutte le proprietà
afficher un programme,display a program,ein programm anzeigen,visualizzare un programma
afficheur agrégat hydraulique,hydraulic unit display,Anzeige des Hydraulikaggregats,indicatore aggregato idraulico
affûtage dépouilles hss,grinding of HSS clearance angles,hinterschliff freiwinkel von hss,affilatura degli angoli di spoglia HSS
affûtage dépouilles métal dur,carbide relief grinding,hinterschliff freiwinkel von hartmetall,affilatura degli scarichi in metallo duro
affûtage tronconique,chisel edge,Kegelschliff,affilatura conica
afin dillustrer certaines procédures ou descriptions,to illustrate certain procedures or descriptions,bestimmte Abläufe oder Beschreibungen darzustellen,per illustrare alcune procedure o descrizioni
agrégat hydraulique,hydraulic unit,Hydraulikaggregat,aggregato idraulico
agrégat laser,laser unit,Laseraggregat,aggregato laser
agrégats,units,Aggregaten,aggregati
aide pdf,help pdf,PDF-Hilfe,aiuto pdf
air,air,luft,aria
air comprimé,compressed air,Druckluft,aria compressa
air comprimée,compressed air,Druckluft,aria compressa
ajout d'un groupe,add group,Gruppe hinzufügen,aggiungi gruppo
ajout d'un shift,add shift,Schicht hinzufügen,aggiunta di un turno
ajout des machines,adding machines,Hinzufügen von Maschinen,aggiunta di macchine
ajout dun nouvel élément,addition of a new component,hinzufügen eines neuen elements,aggiunta di un nuovo elemento
ajout dune nouvelle machine,add machine,neue Maschine hinzufügen,aggiunta di una nuova macchina
ajout indications générales,addition of general indications,ergänzung von allgemeinen hinweisen,aggiunta di informazioni generali
ajout indications générales et sécurité informatique,addition of general information and IT security,ergänzung von allgemeinen hinweisen und datensicherheit,aggiunta di indicazioni generali e sicurezza informatica
ajouter,add,hinzufügen,aggiungere
ajouter des dossiers,adding folders,hinzufügen von ordnern,aggiungere cartelle
ajouter des modules dans nanogrind,add modules in nanogrind,zufügen von modulen in nanogrind,aggiungere dei moduli in nanogrind
ajouter un arrêt f,adding a stop f,hinzufügen eines halts f,aggiungere un arresto f
ajouter un groupe,add a group,eine gruppe hinzufügen,aggiungere un gruppo
ajouter un jeu,adding a set,hinzufügen eines satzes,aggiungere un set
ajouter un pas supplémentaire si besoin,add an extra step if necessary,bei Bedarf einen zusätzlichen Schritt hinzufügen,aggiungere un passaggio supplementare se necessario
ajouter un programme,add a program,ein Programm hinzufügen,aggiungere un programma
ajouter un tasseau,add a block,einen flansch hinzufügen,aggiungere un tassello
ajouter une,add a third,eine dritte hinzufügen,aggiungere una terza
ajouter une machine,add a machine,eine maschine hinzufügen,aggiungere una macchina
ajouter une meule,add a grinding wheel,eine schleifscheibe hinzufügen,aggiungere una mola
ajouter une nouvelle cassette personnalisée,add a new custom cassette,neue benutzerdefinierte kassette hinzufügen,aggiungere una nuova cassetta personalizzata
ajouter une nouvelle pince personnalisée,add a new custom clamping collet,neuen benutzerdefinierten Greifer hinzufügen,aggiungere una nuova pinza personalizzata
ajouter une opération,adding an operation,Hinzufügen einer Operation,aggiungere un'operazione
ajouter une opération débauche,adding a roughing operation,hinzufügen einer schruppoperation,aggiungere un'operazione di sgrossatura
ajouter une équipe,add a team,eine schicht hinzufügen,aggiungere un team
ajustage,fitting,einstellung,aggiustaggio
ajustage des jets d'air,adjustment of air jets,Einstellung der Luftsträhle,aggiustaggio dei getti d'aria
ajuster,adjust,einstellen,regolare
ajuster chargedecharge,adjust load/unload,einstellen von ladenentladen,regolare caricamentoscaricamento
ajuster les prolongations,adjust the extensions,die verlängerungen einstellen,regolare le prolunghe
ajuster position appui avant si nécessaire,adjust front steadyrest position if necessary,Vorderes Lünettenposition bei Bedarf einstellen,regolare la posizione della lunetta anteriore se necessario
ajuster seulement si nécessaire,adjust only if necessary,nur einstellen wenn dies erforderlich ist,aggiustare soltanto se necessario
ajuster à,adjust to,auf stellen,regolare a
akustik stop,acoustic stop,Akustik-Stopp,arresto acustico
alarme,alarm,Alarm,allarme
alarme active,alarm enabled,alarm aktiv,allarme attivo
alarme batterie,battery alarm,Batteriealarm,allarme batteria
alarme externe,external alarm,externer Alarm,allarme esterno
alarme externe niveau d'alarme ou,external alarm or alarm level,externer Alarm oder Alarmstufe,allarme esterno o livello d'allarme
alarme n activer bit k,alarm n activate bit k,alarm nr bit k aktivieren,allarme n attivare bit k
alarme pieces terminees,finished parts alarm,Fertigteil-Alarm,allarme pezzi finiti
alarme robot,robot alarm,Alarm des Roboters,allarme robot
alarme sonore,audible alarm,akustischer Alarm,allarme acustico
alarme spéciale xw,xw special alarm,spezieller alarm xw,allarme speciale xw
alarme standard,standard alarm,Standardalarm,allarme standard
alarme v déconnecté,alarm v disconnected,Alarm V getrennt,allarme v disconnesso
alarme à,alarm at,alarm bei,allarme a
alarmes,alarms,Alarme,allarmi
alarmes et,alarms and,alarme und,allarmi e
alarmes ex,ex alarms,Ex-Alarmen,allarmi ex
alarmes fanuc,fanuc alarms,fanuc alarme,allarmi fanuc
alarmes niveau,level alarms,Niveaualarme,allarmi livello
alarmes niveau iso,level iso alarms,Alarme der Stufe ISO,allarmi livello ISO
alarmes niveau machine,level machine alarms,Alarme auf Maschinenebene,allarmi livello macchina
alarmes niveau robot,level robot alarms,Alarme Niveau Roboter,allarmi livello robot
alarmes niveau vgpro,vgpro level alarms,alarme der stufe vgpro,allarmi di livello vgpro
alarmes rollomatic,rollomatic alarms,rollomatic alarme,allarmi rollomatic
alarmes sans n,alarms without numbers,Alarme ohne Nr,allarmi senza n
alarmes spéciale xw,xw special alarms,spezielle xw alarme,allarmi speciali xw
alarms fanuc,fanuc alarms,Fanuc-Alarme,allarmi Fanuc
alarms rollomatic,rollomatic alarms,Rollomatic-Alarme,allarmi Rollomatic
alcool isopropylique ou acétone,isopropyl alcohol or acetone,Isopropylalkohol oder Aceton,alcool isopropilico o acetone
alfaset,alfaset,Alfaset,alfaset
algorithme,algorithm,Algorithmus,algoritmo
alignement,alignment,Ausrichtung,allineamento
alignement axe a,A-axis alignment,Ausrichtung der A-Achse,allineamento asse A
alignement axe b,B axis alignment,Ausrichtung der B-Achse,allineamento asse B
alignement caméra,camera alignment,kameraausrichtung,allineamento videocamera
alignement des centres,center alignment,Ausrichtung der Zentren,allineamento dei centri
alignement des centres terminé,center alignment complete,Ausrichtung der Zentren abgeschlossen,allineamento dei centri concluso
alignement des palpeurs,probe alignment,ausrichtung der messtaster,allineamento dei tastatori
alignement en auto compensation,self-compensating alignment,Selbstausgleichende Ausrichtung,allineamento nell'autocompensazione
alignement en c,C alignment,C-Ausrichtung,allineamento c
alignement fin en,fine alignment in,Feinausrichtung in,allineamento di precisione su
alignement frontal en,frontal alignment on,frontale Ausrichtung auf,allineamento frontale su
alignement horizontal,horizontal alignment,horizontale ausrichtung,allineamento orizzontale
alignement horizontal selon z,horizontal alignment along z,horizontale Ausrichtung nach z,allineamento orizzontale secondo z
alignement latéral,lateral alignment,seitliche Ausrichtung,allineamento laterale
alignement latéral terminé,lateral alignment complete,seitliche Ausrichtung abgeschlossen,allineamento laterale concluso
alignement station ébauche,roughing station alignment,Ausrichtung der Schruppstation,allineamento stazione sgrossatura
alignement supérieur,upper alignment,obere Ausrichtung,allineamento superiore
alignement supérieur terminé,upper alignment complete,obere Ausrichtung abgeschlossen,allineamento superiore concluso
alignement vertical selon y,vertical alignment along y,vertikale Ausrichtung nach y,allineamento verticale secondo y
alignements,alignments,ausrichtungen,allineamenti
alignements mécaniques,mechanical alignments,mechanische Ausrichtungen,allineamenti meccanici
alignements préliminaires,preliminary alignments,vorherige Ausrichtungen,allineamenti preliminari
aligner manuellement les inserts,manually align the inserts,die wendeschneidplatten manuell ausrichten,allineare manualmente gli inserti
aligné en colonne sur l'axe w,column-aligned on the w axis,spaltenweise auf der w-Achse ausgerichtet,allineato in colonna sull'asse w
alim,power supply,Stromversorgung,alimentazione
alimentation,supply,Zufuhr,alimentazione
alimentation air comprimé,compressed air supply,Druckluftversorgung,alimentazione di aria compressa
alimentation dair comprimé coupée,compressed air supply cut off,druckluftversorgung unterbrochen,alimentazione con aria compressa disinserita
alimentation en air,air supply,Luftzufuhr,alimentazione in aria
alimentation en air comprimé,compressed air supply,druckluftversorgung,alimentazione aria compressa
alimentation en énergie électrique,electrical power supply,elektrische Energieversorgung,alimentazione elettrica
alimentation hydraulique,hydraulic supply,Hydraulikversorgung,alimentazione idraulica
alimentation hydraulique raccord bf,hydraulic feed bf coupling,Hydraulikversorgung Anschluss bf,alimentazione idraulica raccordo bf
alimentation hydraulique xd,hydraulic feedxd,Hydraulikzufuhr xd,alimentazione idraulica xd
alimentation pneumatique raccord rapide,air supply quick release union,Druckluftversorgung Schnellkupplung,alimentazione pneumatica raccordo rapido
alimentation principale,main power supply,Hauptstromversorgung,alimentazione principale
alimentation principale déconnectée,main power supply disconnected,hauptstromversorgung getrennt,alimentazione principale scollegata
alimentation vdc,vdc power supply,stromversorgung vdc,alimentazione vdc
alimentation électrique,electrical power supply,Stromversorgung,alimentazione elettrica
all rights reserved,all rights reserved,Alle Rechte vorbehalten,tutti i diritti riservati
allemand,German,deutsch,tedesco
allemand schnellstahl,German high-speed steel,deutsch schnellstahl,acciaio rapido tedesco
aller dans,go to,gehen zu,andare a
aller dans server manager,go to server manager,in den server manager gehen,andare a server manager
aller sur l'onglet,go to the tab,auf die Registerkarte gehen,andare sulla scheda
aller à,go to,zielposition,posizionare
allineamento,alignment,Ausrichtung,alignment
alt f,alt f,alt f,alt f
alt tab,alt tab,alt tab,alt tab
alterner explications et exercices,alternate explanations and exercises,erläuterungen und übungen abwechseln,alternare spiegazioni ed esercizi
alterné,alternate,alternierend,alternato
alésage,bore,Bohrung,alesaggio
alésages,bores,Bohrungen,alesaggi
alésoirs,reamers,reibahlen,alesatori
ame conique,taper core,konischer Kern,nucleo conico
amortisseur,damper,dämpfer,ammortizzatore
amortisseur caméra fermée,closed camera damper,Dämpfer geschlossene Kamera,ammortizzatore telecamera chiusa
amortisseurs,dampers,Dämpfer,ammortizzatori
amortisseurs en plastique,plastic absorbers,Kunststoffdämpfer,ammortizzatori in plastica
ampli,amplifier,Verstärker,amplificatori
ampli broche,spindle amplifier,Spindelverstärker,amplificatore mandrino
analyse des problèmes,problem analyses,Problemanalysen,analisi dei problemi
ancienne,old,alt,vecchia
anglais,English,englisch,inglese
anglais high speed steel,English high speed steel,englisch high speed steel,acciaio rapido inglese
angle,angle,Winkel,angolo
angle a,angle a,winkel a,angolo a
angle a à,angle a to,winkel a bis,angolo a a
angle axial,axial angle,axial winkel,angolo assiale
angle b,angle b,Winkel b,angolo b
angle c,angle c,winkel c,angolo c
angle d'arc,arc angle,Bogenwinkel,angolo d'arco
angle d'inclinaison axial,axial inclination angle,Neigungswinkel,angolo di inclinazione assiale
angle dhélice,helix angle,Spiralwinkel,angolo di elica
angle dhélice ou pas,helix angle or pitch,drallwinkel oder steigung,angolo di elica o passo
angle dhélice valeur négative,helix angle negative value,drallwinkel negativer wert,angolo d'elica valore negativo
angle dépouille prolongations,relief angle extensions,Freiwinkelverlängerungen,prolunghe dell'angolo di spoglia
angle entre acquisitions,angle between acquisitions,Winkel zwischen den Erfassungen,angolo tra acquisizioni
angle hta,HTA angle,HTA-Winkel,angolo hta
angle mesuré,measured angle,gemessener winkel,angolo misurato
angle primaire,primary angle,Primärwinkel,angolo primario
angle primaire incurvé,curved primary angle,gekrümmter Primärwinkel,angolo primario curvo
angle secondaire,secondary angle,sekundärer winkel,angolo secondario
angle secondaire mesuré à saisir,secondary angle measured at enter,sekundärwinkel gemessen beim Einsetzen,angolo secondario misurato all'inserimento
angle ta,ta angle,winkel ta,angolo ta
angle uw,uw angle,uw winkel,angolo uw
angles,angles,winkel,angoli
angles axialradial différents,different axial-radial angles,unterschiedliche axial-radiale Winkel,diversi angoli assiale-radiali
anneau,ring,Ring,anello
annexes,appendixes,anhänge,allegati
annuel,annually,jährlich,annuale
annuelle,annual,jährlich,annuale
année,year,Jahr,anno
ans,years,Jahre,anni
anticipation,be prepared,Vorwegnahme,anticipazione
antivirus,antivirus,virenschutz,antivirus
apparaît,appears,erscheint,appare
appareils annexes,ancillary equipment,Nebengeräte,apparecchi ausiliari
application,application,Anwendung,applicazione
application mysql workbench,mysql workbench application,MySQL Workbench-Anwendung,mysql workbench application
application outils cylindrique jusquà ømm,application for cylindrical tools up to ø mm,anwendung zylindrische werkzeuge bis ø mm,applicazione per utensili cilindrici fino a ø mm
applications,applications,anwendungen,applicazioni
applications spéciales,special applications,Sonderanwendungen,applicazioni speciali
appliquer les corrections sur les meules,apply corrections to the grinding wheels,die korrekturen bei den schleifscheiben anwenden,applicare le correzioni sulle mole
apportez un soin tout particulier,pay particular attention,besondere Sorgfalt walten lassen,destare particolare attenzione
apprend point,teach point,Teachpunkt,imparare punto
approche y,y approach,Annäherung y,avvicinamento y
appspi à venir,appspi forthcoming,appspi noch in der entwicklung,appspi in arrivo
appspilh et rh,appspilh and rh,appspilh und rh,appspilh e rh
appui,steady rest,Stütze,appoggio
appui arobotech,arobotech rest,Arobotech-Auflage,appoggio Arobotech
appui arrière,back steadyrest,hintere Stütze,appoggio posteriore
appui avant,front steadyrest,vordere Stütze,appoggio anteriore
appui burs,bur steadyrest,Rotierfräser-Stütze,appoggio per bur
appui cnc ou k cnc,steadyrest cnc or k cnc,CNC-Reitstock oder K-CNC,lunetta cnc o k cnc
appui en haut,steadyrest up,Obere Lünette,lunetta superiore
appui en position haute,steadyrest in up position,stütze in hochstellung,appoggio in posizione alta
appui en v ou demi lune,v or half moon support,V-Prisma oder Halbschale,appoggio a V o a mezza luna
appui en v ou demi lune hydraulique,v or half moon hydraulic support,V-Prisma oder Halbschale hydraulisch,supporto idraulico a V o a mezzaluna
appui haut,upper support,obere Auflage,appoggio su
appui ou contre pointe en position basse,steadyrest or tailstock in lowered position,Stütze oder Reitstock in unterer Position,appoggio o contropunta in posizione bassa
appui ou contre pointe en position haute,steadyrest or tailstock in raised position,Stütze oder Reitstock in oberer Position,appoggio o contropunta in posizione alta
appui partie coupante,cutting part support,Schneidenteilauflage,appoggio parte tagliente
appui rayon,radius support,Radiusstütze,appoggio raggio
appui rétractable hautbas,high-low retractable support,Hebensenken der absenkbaren Stütze,appoggio retrattile altobasso
appuis,steadyrests,Stützen,appoggi
appuis demi lune,half moon supports,Halbmondstützen,appoggi a mezzaluna
appuyer brièvement sur ou,briefly press or,kurz auf oder drücken,premere brevemente su o
appuyer simultanément sur les touches,press the keys simultaneously,gleichzeitig die Tasten drücken,premere contemporaneamente i tasti
appuyer sur,press,drücken,premere su
appuyer sur les touches,press the keys,die Tasten drücken,premere i tasti
appuyer sur pendant secondes,press for seconds,sekunden lang drücken,premere per secondi
appuyer sur rejeu,press replay,auf reset,premere riproduci
appuyer sur reset,press reset,Reset drücken,premere reset
appuyer sur start,press start,Start drücken,premere start
appuyer sur un bouton poussoir pendant secondes,press a push button for seconds,einen druckknopf sekunden lang drücken,premere un pulsante per secondi
après,after,nachher,dopo
après avoir cliqué sur,after clicking on,nach einem Klick auf,dopo avere cliccato su
après chaque déplacement dune machine,after each displacement of a machine,nach jedem standortwechsel einer maschine,dopo ogni spostamento di una macchina
après un crash important,after a major crash,nach einer schweren Kollision,dopo un crash importante
après une calibration palpeur,after a probe calibration,nach einer messtasterkalibrierung,dopo una calibrazione del tastatore
après une collision,after a collision,nach einer kollision,dopo una collisione
après une mauvaise manipulation,after mishandling,nach einer Fehlbedienung,dopo un'errata manipolazione
arborescence,tree structure,Hierarchie,struttura ad albero
arborescences,tree structures,baumstruktur,strutture ad albero
arbre,shaft,Welle,albero
arbre des opérations,operation tree,Baumstruktur der Operationen,albero delle operazioni
arbre meule,wheel spindle,Schleifspindel,mandrino mola
arbre vide,empty shaft,Hohlwelle,albero vuoto
argument manquant,missing argument,argument fehlt,argomento mancante
armoire électrique,electrical cabinet,Schaltschrank,armadio elettrico
arret durgence,emergency stop,Not-Aus,arresto di emergenza
arret durgence activé,emergency stop activated,Not-Aus aktiviert,arresto di emergenza attivato
arreter l'arrosage,stop coolant supply,Kühlmittelzufuhr stoppen,arrestare l'erogazione del refrigerante
arreter l'arrosage,stop cooling,Kühlung stoppen,arrestare il raffreddamento
arriere,rear,hinten,dietro
arrière,rear,hinten,posteriore
arrosage,coolant supply,Kühlmittelzufuhr,apporto di refrigerante
arrosage bloque par porte ouverte,coolant blocked by open door,kühlung durch offene tür blockiert,raffreddamento bloccato per porta aperta
arrosage poupée,workhead coolant,Kühlung der Werkstückspindel,raffreddamento testa portapezzo
arrosage refroidissement,coolant supply,kühlung kühlmittelzufuhr,alimentazione del refrigerante
arrêt,shutdown,Halt,arresto
arrêt d'urgence,emergency stop,Not-Aus,arresto di emergenza
arrêt durgence,emergency stop,Not-Aus,arresto di emergenza
arrêt puissance,power cutoff,Leistungsabschaltung,interruzione di potenza
arrêt puissance power timer n,power cutoff power timer n,abschalten der laststromversorgung power timer n,arresto potenza power timer n
arrête centrale,central edge,Querschneide,tagliente centrale
arrête coupante,cutting edge,Schneide,tagliente
arrête vive onduleuse ou chipping,sharp edge undulated or chipped,scharfe Schneidkante wellig oder mit Graten,angolo vivo ondulato o scheggiatura
art,type,Art,tipo
art hsk,item hsk,art nr hsk,articolo hsk
art mm,item mmm,Artikel mm,articolo mm
art mors fixe mors mobile,item fixed jaw movable jaw,Artikel fester Backen beweglicher Backen,articolo ganascia fissa ganascia mobile
art n,item no,Art.-Nr.,n. art.
art n xx,item no xx,art nr xx,art n xx
art nyy,item no yy,art nr yy,art n yy
article,item,Artikel,articolo
article a,article a,artikel a,articolo a
article a vis,screw item,Schraubenartikel,articolo a vite
article hsk,hsk holder,artikel hsk,articolo hsk
article n,item no,artikel nr,articolo n
article n xxx,item no xxx,artikel nr xxx,articolo n xxx
article xxx,item xxx,artikel xxx,articolo xxx
articles en stock,items in stock,vorrätige artikel,articoli in stock
asans appui arrière,ano back steadyrest,hintere Lünette,lunetta posteriore
aspect pratiques,practical aspects,praktische aspekte,aspetti pratici
aspirateur industriel,industrial vacuum cleaner,Industriestaubsauger,aspiratore industriale
aspiration des vapeurs dhuile,oil vapor exhaust,ölnebelabsaugung,aspirazione dei vapori d'olio
aspiration vapeur dhuile,oil vapor exhaust,ölnebelabsaugung,aspirazione del vapore dell'olio
assemblage,assembly,zusammenbau,assemblaggio
assiette,level,Niveau,livello
assistance robot,robot assistance,Roboterassistenz,assistenza robot
assistances robot,robotic assistance,Roboterunterstützung,assistenti robot
assistant,wizard,Assistent,assistente
assistant wizard,set up wizard,Assistent Wizard,assistente wizard
astu définition pictogramme,astu pictogram definition,astu Piktogrammdefinition,astu definizione pittogramma
astu glisser doigt,astu drag finger,astu Finger gleiten lassen,astu far scorrere il dito
astu robot changement vitesse,hint robot speed change,tipp roboter geschwindigkeitsänderung,astu robot cambio di velocità
astuce,tip,tipp,trucco
astérisque,asterisk,sternchen,asterisco
att collision caméra,wrn camera collision,warnung kamerakollision,att collisione telecamera
attachement,attachment,Aufnahme,attacco
attdetalonnage axe b hors limite max,wrnrelief b axis over stroke max,Warnung: B-Achse über maximalen Verfahrweg,avvertimento: asse B oltre la corsa massima
attdetalonnage axe b hors limite min,wrnrelief b axis over stroke min,Warnung: B-Achse außerhalb des minimalen Verfahrwegs,avviso: asse B oltre il limite minimo di corsa
attdispositif,dressing device,Abrichtvorrichtung,dispositivo di ravvivatura
attdivision par zero,wrndivision by zero,wrndivision durch null,attdivisione per zero
atte brûlure,burn mark,Brandfleck,segno di bruciatura
atte définition pictogramme,atte pictogram definition,atte Piktogrammdefinition,atte definizione pittogramma
atte perte données changement batteries,caution data loss during battery replacement,achtung datenverlust bei batteriewechsel,attenzione perdita di dati durante il cambio batteria
attendre,wait,warten,aspettare
attendre minute,wait minute,Minute warten,aspettare minuto
attendre que l'opération se termine,wait until the operation is complete,warten bis der vorgang abgeschlossen ist,attendere che l'operazione sia terminata
attendre que l'opération soit terminée,wait until the operation is finished,warten bis der vorgang abgeschlossen ist,attendere che l'operazione sia terminata
attendre secondes,wait seconds,sekunden lang warten,aspettare secondi
attention,caution,achtung,attenzione
attention aux collisions,beware of collisions,kollisionsgefahr beachten,attenzione alle collisioni
attention aux périphériques,pay attention to peripherals,auf die peripheriegeräte achten,attenzione alle periferiche
attention ces cassettes doivent être modifiées,caution these cassettes must be modified,"Achtung, diese Kassetten müssen geändert werden",attenzione queste cassette devono essere modificate
attention environnement,caution environment,achtung umwelt,attenzione ambiente
attention longueur maxi mm,caution maximum length mm,achtung max länge mm,attenzione lunghezza max mm
attention matériel,caution equipment,achtung anlage,attenzione attrezzatura
attention à son poids,pay attention to its weight,auf das gewicht achten,attenzione al suo peso
attgoujure axe b hors limite maximum,wrnflute b axis over stroke max,wrnflute B-Achse außerhalb des maximalen Verfahrwegs,wrnflute asse B oltre la corsa massima
attgoujure axe b hors limite minimum,wrnflute b axis over stroke min,Warnung: B-Achse außerhalb des Mindesthubs,avviso: asse B oltre la corsa minima
attmachine lock active,wrnmachine lock on,Maschinensperre aktiv,blocco macchina attivo
attmachine lock on,machine lock on,Maschinensperre ein,macchina bloccata
attpieces terminees,workpieces finished,Werkstücke bearbeitet,pezzi eseguiti
attpression daccu broche faible,warn spindle accumulator pressure low,Warnung: Druckspeicher Spindel Druck niedrig,avviso pressione accumulatore mandrino bassa
attribuer,assign,zugewiesen werden,assegnare
